,business_id,stars,positive_count,negative_count,sentiment_score_%,keyword,group
0,-BdYhP-12elmFV7oB1iv4A,5.0,7,0,100.0,food,food
1,-e8RwknT5szoLk9uBZjzcw,4.0,1,0,100.0,food,food
2,-ujBP1Dw0j1-Ffaz97-LXQ,4.0,33,1,97.05882352941175,food,food
3,0CHIbqSkGWBr2KMkIUocEA,3.5,214,16,93.04347826086956,food,food
4,0ac5lGA_0wdKDnib3y59Xg,4.0,117,4,96.69421487603306,food,food
5,0it-2gWk_gyuZyEMQzBBuQ,4.0,50,1,98.03921568627452,food,food
6,0t1pU_Ky3Jvgq5Ya_OC1pA,4.5,28,1,96.55172413793105,food,food
7,1FURjeGJi_LBXcJQg8eskw,4.5,216,5,97.73755656108597,food,food
8,1xsBRB203LiYLcC3mktfdA,4.0,0,0,100.0,food,food
9,2YnQAJdeFrcgPa8MqIYcDg,3.5,72,4,94.73684210526316,food,food
10,2l-spLLGUzRiZg8dF623Nw,4.0,26,2,92.85714285714286,food,food
11,2nk4hq2oRfym8ROQ5iS47g,4.5,7,0,100.0,food,food
12,3Wy21heeDm8h2tSZfcj6OA,4.5,273,10,96.46643109540636,food,food
13,45D7B9CqiUTTPUFcqmLx5Q,4.5,53,1,98.14814814814817,food,food
14,4FdsX3MbkcdBRAr1aymF6A,4.5,13,0,100.0,food,food
15,4IqrY1mXK65HgrrgkpE-cw,4.5,8,0,100.0,food,food
16,4KAuy-zNBxD9QvnkldwEww,4.0,3,0,100.0,food,food
17,4kfbEcAMepvkjt3H7INYBg,4.5,6,0,100.0,food,food
18,4xhGQGdGqU60BIznBjqnuA,4.0,14,0,100.0,food,food
19,52ov7d0148JvYG78_c-Bsw,4.0,39,2,95.1219512195122,food,food
20,5bDjg02rlg6ODEUT-UQT-A,3.5,4,0,100.0,food,food
21,5uNCvNy9L6peKeKP1RRPyg,3.5,89,76,53.93939393939394,food,food
22,64Rl3pT4Md4-8ckeaNVZCQ,3.5,78,7,91.76470588235294,food,food
23,6HTGlttrzCMsuGBHO1ZGiw,4.5,83,5,94.3181818181818,food,food
24,7yR4oQcapZBKCkRLB3Isig,2.5,57,9,86.36363636363636,food,food
25,8Lbz0hfE4MWzd7yDu9atBA,5.0,44,0,100.0,food,food
26,8Vo6LN9gqULhXzoxj5k6kQ,4.5,236,5,97.9253112033195,food,food
27,9xW7LsJpyhVZFRb6z9xorg,4.0,47,2,95.91836734693878,food,food
28,A7Uwcr1BjasB6BWke1hrfA,5.0,1,0,100.0,food,food
29,AV3XPH1iv8PKSO6mrnYgLg,4.5,6,0,100.0,food,food
30,Bm-NlFiZWMCwmmz9B_rlCA,4.0,4,1,80.0,food,food
31,Bo-GGwQNcLVwyKeYkbfAYg,5.0,0,0,,food,food
32,DD3TxygdxBxKh9gbjCuLDA,4.5,39,0,100.0,food,food
33,DOfiulOub9hVPBCtiDl9Fw,4.0,75,4,94.9367088607595,food,food
