"","stars","word","n"
"291","4.5","close",14
"292","4.5","cool",14
"293","4.5","fresh",14
"294","4.5","peopl",14
"295","4.5","pm",14
"296","3.5","7",13
"297","3.5","fresh",13
"298","3.5","oyster",13
"299","3.5","perfect",13
"300","3.5","pizza",13
"301","3.5","select",13
"302","3.5","taco",13
"303","3.5","tast",13
"304","3.5","yummi",13
"305","4","1",13
"306","4","7",13
"307","4","ambienc",13
"308","4","come",13
"309","4","hand",13
"310","4","offer",13
"311","4","owner",13
"312","4","stop",13
"313","4","street",13
"314","4","week",13
"315","4","wharf",13
"316","4","window",13
"317","4.5","2",13
"318","4.5","beach",13
"319","4.5","come",13
"320","4.5","duck",13
"321","4.5","lunch",13
"322","4.5","server",13
"323","4.5","special",13
"324","4.5","taco",13
"325","4.5","tasti",13
"326","4.5","view",13
"327","3.5","chines",12
"328","3.5","staff",12
"329","4","avoid",12
"330","4","bomb",12
"331","4","chocol",12
"332","4","cold",12
"333","4","dish",12
"334","4","expect",12
"335","4","funk",12
"336","4","gotta",12
"337","4","list",12
"338","4","ocean",12
"339","4","pasta",12
"340","4","pork",12
"341","4","shooter",12
"342","4","soup",12
"343","4","top",12
"344","4","tuesday",12
"345","4","visit",12
"346","4","yelp",12
"347","4","zone",12
"348","4.5","4",12
"349","4.5","famili",12
"350","4.5","local",12
"351","4.5","serv",12
"352","4.5","uniqu",12
"353","4.5","worth",12
"354","3.5","close",11
"355","3.5","day",11
"356","3.5","meal",11
"357","3.5","seat",11
"358","3.5","serv",11
"359","3.5","steak",11
"360","4","00",11
"361","4","appl",11
"362","4","art",11
"363","4","blue",11
"364","4","brussel",11
"365","4","chardonnay",11
"366","4","combo",11
"367","4","delish",11
"368","4","grab",11
"369","4","guy",11
"370","4","leav",11
"371","4","light",11
"372","4","line",11
"373","4","margarita",11
"374","4","onion",11
"375","4","plate",11
"376","4","portion",11
"377","4","potato",11
"378","4","qualiti",11
"379","4","real",11
"380","4","red",11
"381","4","space",11
"382","4","tip",11
"383","4.5","1",11
"384","4.5","absolut",11
"385","4.5","custom",11
"386","4.5","experi",11
"387","4.5","lot",11
"388","4.5","sunday",11
"389","4.5","sweet",11
"390","4.5","walk",11
"391","3.5","2",10
"392","3.5","30",10
"393","3.5","busi",10
"394","3.5","fantast",10
"395","3.5","favorit",10
"396","3.5","local",10
"397","3.5","pretti",10
"398","3.5","salsa",10
"399","3.5","sauc",10
"400","3.5","sb",10
"401","3.5","soup",10
"402","3.5","sweet",10
"403","3.5","tabl",10
"404","4","8",10
"405","4","bacon",10
"406","4","bag",10
"407","4","brie",10
"408","4","downstair",10
"409","4","environ",10
"410","4","friday",10
"411","4","grill",10
"412","4","half",10
"413","4","homemad",10
"414","4","honey",10
"415","4","horribl",10
"416","4","late",10
"417","4","monday",10
"418","4","money",10
"419","4","montecito",10
"420","4","pick",10
"421","4","pricey",10
"422","4","slow",10
"423","4","sprout",10
"424","4","uniqu",10
"425","4","valet",10
"426","4","waffl",10
"427","4","waiter",10
"428","4.5","beauti",10
"429","4.5","dog",10
"430","4.5","flavor",10
"431","4.5","free",10
"432","4.5","hard",10
"433","4.5","owner",10
"434","4.5","sit",10
"435","4.5","street",10
"436","4.5","tap",10
"437","3.5","clam",9
"438","3.5","crab",9
"439","3.5","french",9
"440","3.5","live",9
"441","3.5","lobster",9
"442","3.5","outdoor",9
"443","3.5","peopl",9
"444","3.5","price",9
"445","3.5","recommend",9
"446","3.5","reserv",9
"447","3.5","sangria",9
"448","3.5","super",9
"449","3.5","vegetarian",9
"450","3.5","wait",9
"451","4","12",9
"452","4","25",9
"453","4","app",9
"454","4","benedict",9
"455","4","bottl",9
"456","4","brat",9
"457","4","card",9
"458","4","casual",9
"459","4","chill",9
"460","4","clean",9
"461","4","cup",9
"462","4","date",9
"463","4","decent",9
"464","4","door",9
"465","4","fee",9
"466","4","found",9
"467","4","generous",9
"468","4","heaven",9
"469","4","hous",9
"470","4","huge",9
"471","4","incred",9
"472","4","item",9
"473","4","lamb",9
"474","4","loud",9
"475","4","min",9
"476","4","penni",9
"477","4","piccata",9
"478","4","pong",9
"479","4","ravioli",9
"480","4","readi",9
"481","4","return",9
"482","4","review",9
"483","4","rice",9
"484","4","ring",9
"485","4","scallop",9
"486","4","share",9
"487","4","solid",9
"488","4","toast",9
"489","4","tonight",9
"490","4","tourist",9
"491","4","treat",9
"492","4","upstair",9
"493","4","vodka",9
"494","4","warm",9
"495","4","white",9
"496","4","wing",9
"497","4.5","20",9
"498","4.5","30",9
"499","4.5","6",9
"500","4.5","bottl",9
"501","4.5","cake",9
"502","4.5","check",9
"503","4.5","chill",9
"504","4.5","clam",9
"505","4.5","dessert",9
"506","4.5","friday",9
"507","4.5","glass",9
"508","4.5","monday",9
"509","4.5","red",9
"510","4.5","scallop",9
"511","4.5","set",9
"512","4.5","tapa",9
"513","4.5","wow",9
"514","5","awesom",9
"515","5","beer",9
"516","3","food",8
"517","3.5","20",8
"518","3.5","beef",8
"519","3.5","brunch",8
"520","3.5","italian",8
"521","3.5","music",8
"522","3.5","option",8
"523","3.5","portion",8
"524","3.5","potato",8
"525","3.5","shrimp",8
"526","3.5","sit",8
"527","3.5","spici",8
"528","3.5","street",8
"529","3.5","town",8
"530","3.5","walk",8
"531","4","15",8
"532","4","ahi",8
"533","4","attent",8
"534","4","axxess",8
"535","4","bisqu",8
"536","4","bit",8
"537","4","bite",8
"538","4","celebr",8
"539","4","cozi",8
"540","4","cupcak",8
"541","4","decor",8
"542","4","expens",8
"543","4","extra",8
"544","4","filet",8
"545","4","fire",8
"546","4","german",8
"547","4","gluten",8
"548","4","hang",8
"549","4","heat",8
"550","4","host",8
"551","4","joint",8
"552","4","kitchen",8
"553","4","limit",8
"554","4","mac",8
"555","4","manag",8
"556","4","martini",8
"557","4","meet",8
"558","4","mussel",8
"559","4","pancak",8
"560","4","phenomen",8
"561","4","prepar",8
"562","4","relax",8
"563","4","sat",8
"564","4","skip",8
"565","4","strip",8
"566","4","style",8
"567","4","swordfish",8
"568","4","syrah",8
"569","4","tapa",8
"570","4","terribl",8
"571","4","tini",8
"572","4","total",8
"573","4","truffl",8
"574","4","worst",8
"575","4.5","10",8
"576","4.5","7",8
"577","4.5","bo",8
"578","4.5","choic",8
"579","4.5","coffe",8
"580","4.5","cute",8
"581","4.5","environ",8
"582","4.5","feel",8
"583","4.5","henri",8
"584","4.5","hidden",8
"585","4.5","night",8
"586","4.5","potato",8
"587","4.5","smoke",8
"588","4.5","soup",8
"589","4.5","star",8
"590","5","friend",8
"591","2.5","hour",7
"592","2.5","margarita",7
"593","2.5","taco",7
"594","3.5","atmospher",7
"595","3.5","daili",7
"596","3.5","decent",7
"597","3.5","enchilada",7
"598","3.5","flavor",7
"599","3.5","insid",7
"600","3.5","la",7
"601","3.5","mussel",7
"602","3.5","noodl",7
"603","3.5","quick",7
"604","3.5","sandwich",7
"605","3.5","sea",7
"606","3.5","spot",7
"607","3.5","terribl",7
"608","3.5","urchin",7
"609","3.5","worst",7
"610","4","90",7
"611","4","abalon",7
"612","4","afternoon",7
"613","4","band",7
"614","4","butter",7
"615","4","charg",7
"616","4","craft",7
"617","4","danish",7
"618","4","dozen",7
"619","4","dung",7
"620","4","famili",7
"621","4","gorgeous",7
"622","4","green",7
"623","4","hard",7
"624","4","head",7
"625","4","husband",7
"626","4","ingredi",7
"627","4","kick",7
"628","4","kid",7
"629","4","knowledg",7
"630","4","latt",7
"631","4","meat",7
"632","4","meh",7
"633","4","mexican",7
"634","4","mule",7
"635","4","omg",7
"636","4","outstand",7
"637","4","pinot",7
"638","4","rib",7
"639","4","short",7
"640","4","spend",7
"641","4","tomato",7
"642","4","veggi",7
"643","4","wife",7
"644","4","wrong",7
"645","4.5","15",7
"646","4.5","3",7
"647","4.5","ambienc",7
"648","4.5","call",7
"649","4.5","chip",7
"650","4.5","cigar",7
"651","4.5","die",7
"652","4.5","help",7
"653","4.5","live",7
"654","4.5","manag",7
"655","4.5","month",7
"656","4.5","parti",7
"657","4.5","plate",7
"658","4.5","pour",7
"659","4.5","shrimp",7
"660","4.5","watch",7
"661","4.5","yelp",7
"662","5","food",7
"663","5","spot",7
"664","2.5","tuesday",6
"665","3.5","12",6
"666","3.5","ale",6
"667","3.5","bland",6
"668","3.5","blush",6
"669","3.5","bread",6
"670","3.5","call",6
"671","3.5","cevich",6
"672","3.5","chang",6
"673","3.5","chorizo",6
"674","3.5","clean",6
"675","3.5","expect",6
"676","3.5","groupon",6
"677","3.5","half",6
"678","3.5","locat",6
"679","3.5","martini",6
"680","3.5","night",6
"681","3.5","owner",6
"682","3.5","park",6
"683","3.5","pineappl",6
"684","3.5","qualiti",6
"685","3.5","review",6
"686","3.5","rib",6
"687","3.5","roll",6
"688","3.5","star",6
"689","3.5","stop",6
"690","3.5","tip",6
"691","3.5","vietnames",6
"692","3.5","wonder",6
"693","4","ahead",6
"694","4","balconi",6
"695","4","bass",6
"696","4","brophi",6
"697","4","build",6
"698","4","chef",6
"699","4","chop",6
"700","4","classic",6
"701","4","corner",6
"702","4","coupl",6
"703","4","coupon",6
"704","4","dirti",6
"705","4","drive",6
"706","4","duck",6
"707","4","even",6
"708","4","fill",6
"709","4","game",6
"710","4","girl",6
"711","4","gold",6
"712","4","heard",6
"713","4","holi",6
"714","4","hostess",6
"715","4","jane",6
"716","4","la",6
"717","4","lark",6
"718","4","lemonad",6
"719","4","lucki",6
"720","4","marzipan",6
"721","4","mimosa",6
"722","4","mojito",6
"723","4","noir",6
"724","4","pair",6
"725","4","pass",6
"726","4","passion",6
"727","4","person",6
"728","4","pickl",6
"729","4","ping",6
"730","4","pleasant",6
"731","4","rosemari",6
"732","4","sevtap",6
"733","4","sign",6
"734","4","stuff",6
"735","4","surpris",6
"736","4","take",6
"737","4","tap",6
"738","4","tuna",6
"739","4","vegan",6
"740","4","world",6
"741","4.5","8",6
"742","4.5","appet",6
"743","4.5","avoid",6
"744","4.5","beef",6
"745","4.5","bit",6
"746","4.5","blueberri",6
"747","4.5","bread",6
"748","4.5","breakfast",6
"749","4.5","bring",6
"750","4.5","busi",6
"751","4.5","care",6
"752","4.5","chocol",6
"753","4.5","chowder",6
"754","4.5","clean",6
"755","4.5","cold",6
"756","4.5","consist",6
"757","4.5","cook",6
"758","4.5","covid",6
"759","4.5","cozi",6
"760","4.5","decor",6
"761","4.5","disappoint",6
"762","4.5","expens",6
"763","4.5","french",6
"764","4.5","la",6
"765","4.5","late",6
"766","4.5","light",6
"767","4.5","line",6
"768","4.5","loung",6
"769","4.5","lure",6
"770","4.5","min",6
"771","4.5","miss",6
"772","4.5","pair",6
"773","4.5","phone",6
"774","4.5","play",6
"775","4.5","qualiti",6
"776","4.5","rib",6
"777","4.5","sand",6
"778","4.5","seafood",6
"779","4.5","slow",6
"780","4.5","tomato",6
"781","4.5","tonight",6
"782","4.5","vegan",6
"783","4.5","visit",6
"784","4.5","waiter",6
"785","4.5","weekend",6
"786","4.5","wineri",6
"787","4.5","yum",6
"788","5","amaz",6
"789","5","delici",6
"790","5","love",6
"791","5","recommend",6
"792","5","select",6
"793","5","tast",6
"794","2.5","happi",5
"795","2.5","servic",5
"796","3.5","appet",5
"797","3.5","black",5
"798","3.5","burrito",5
"799","3.5","celebr",5
"800","3.5","check",5
"801","3.5","cool",5
"802","3.5","curri",5
"803","3.5","custom",5
"804","3.5","deal",5
"805","3.5","disappoint",5
"806","3.5","dish",5
"807","3.5","door",5
"808","3.5","feel",5
"809","3.5","includ",5
"810","3.5","manag",5
"811","3.5","mexican",5
"812","3.5","plate",5
"813","3.5","reason",5
"814","3.5","rock",5
"815","3.5","salmon",5
"816","3.5","sat",5
"817","3.5","server",5
"818","3.5","share",5
"819","3.5","slow",5
"820","3.5","sport",5
"821","3.5","sunday",5
"822","3.5","syrah",5
"823","3.5","waitress",5
"824","3.5","watch",5
"825","3.5","worth",5
"826","3.5","wrong",5
"827","4","3pm",5
"828","4","45",5
"829","4","50",5
"830","4","add",5
"831","4","anchor",5
"832","4","ate",5
"833","4","authent",5
"834","4","babi",5
"835","4","bean",5
"836","4","beat",5
"837","4","board",5
"838","4","book",5
"839","4","box",5
"840","4","brew",5
"841","4","buy",5
"842","4","car",5
"843","4","care",5
"844","4","champagn",5
"845","4","chowda",5
"846","4","cinnamon",5
"847","4","club",5
"848","4","complimentari",5
"849","4","counter",5
"850","4","crap",5
"851","4","cream",5
"852","4","deep",5
"853","4","delight",5
"854","4","downtown",5
"855","4","dress",5
"856","4","event",5
"857","4","fan",5
"858","4","fav",5
"859","4","fine",5
"860","4","gem",5
"861","4","good",5
"862","4","grit",5
"863","4","king",5
"864","4","ladi",5
"865","4","lemon",5
"866","4","life",5
"867","4","lost",5
"868","4","mahi",5
"869","4","make",5
"870","4","melt",5
"871","4","mignon",5
"872","4","mix",5
